NAME,Numberofcases,UpdatedDate,COUNTY,STATE
Coraopolis Borough,2,3/28/2020,Allegheny,Pennsylvania
Robinson Township,4,3/28/2020,Allegheny,Pennsylvania
Oakdale Borough,0,3/28/2020,Allegheny,Pennsylvania
McDonald Borough,0,3/28/2020,Allegheny,Pennsylvania
South Fayette Township,4,3/28/2020,Allegheny,Pennsylvania
North Fayette Township,1,3/28/2020,Allegheny,Pennsylvania
Findlay Township,0,3/28/2020,Allegheny,Pennsylvania
Forward Township,0,3/28/2020,Allegheny,Pennsylvania
South Versailles Township,0,3/28/2020,Allegheny,Pennsylvania
White Oak Borough,0,3/28/2020,Allegheny,Pennsylvania
North Versailles Township,2,3/28/2020,Allegheny,Pennsylvania
Pine Township,4,3/28/2020,Allegheny,Pennsylvania
Marshall Township,4,3/28/2020,Allegheny,Pennsylvania
Bradford Woods Borough,0,3/28/2020,Allegheny,Pennsylvania
Aleppo Township,0,3/28/2020,Allegheny,Pennsylvania
Collier Township,1,3/28/2020,Allegheny,Pennsylvania
Hampton Township,4,3/28/2020,Allegheny,Pennsylvania
Pitcairn Borough,0,3/28/2020,Allegheny,Pennsylvania
Indiana Township,4,3/28/2020,Allegheny,Pennsylvania
O Hara Township,0,3/28/2020,Allegheny,Pennsylvania
Aspinwall Borough,0,3/28/2020,Allegheny,Pennsylvania
West Deer Township,6,3/28/2020,Allegheny,Pennsylvania
Jefferson Hills Borough,1,3/28/2020,Allegheny,Pennsylvania
Bellevue Borough,2,3/28/2020,Allegheny,Pennsylvania
Bethel Park Municipality,2,3/28/2020,Allegheny,Pennsylvania
Trafford Borough,0,3/28/2020,Allegheny,Pennsylvania
Kilbuck Township,0,3/28/2020,Allegheny,Pennsylvania
East McKeesport Borough,0,3/28/2020,Allegheny,Pennsylvania
Pittsburgh,79,3/28/2020,Allegheny,Pennsylvania
Penn Hills Municipality,3,3/28/2020,Allegheny,Pennsylvania
Forest Hills Borough,1,3/28/2020,Allegheny,Pennsylvania
